station_id,file,size_bytes,size_human,present
01230099999,01230099999.csv,679386,663.46 KiB,True
01232099999,01232099999.csv,786164,767.74 KiB,True
01233099999,01233099999.csv,1304183,1.24 MiB,True
01234099999,01234099999.csv,1312782,1.25 MiB,True
01237099999,01237099999.csv,1508180,1.44 MiB,True
01238099999,01238099999.csv,2825234,2.69 MiB,True
01239099999,01239099999.csv,118838,116.05 KiB,True
01240099999,01240099999.csv,678957,663.04 KiB,True
01241099999,01241099999.csv,6687672,6.38 MiB,True
01242099999,01242099999.csv,1350868,1.29 MiB,True
01245099999,01245099999.csv,725419,708.42 KiB,True
01250099999,01250099999.csv,202663,197.91 KiB,True
01253099999,01253099999.csv,626352,611.67 KiB,True
01254099999,01254099999.csv,606818,592.60 KiB,True
01257099999,01257099999.csv,708749,692.14 KiB,True
01259099999,01259099999.csv,658752,643.31 KiB,True
01262099999,01262099999.csv,538920,526.29 KiB,True
01265099999,01265099999.csv,1533388,1.46 MiB,True
01270099999,01270099999.csv,153254,149.66 KiB,True
01271099999,01271099999.csv,8200328,7.82 MiB,True
01272099999,01272099999.csv,873680,853.20 KiB,True
01273099999,01273099999.csv,1489166,1.42 MiB,True
01277099999,01277099999.csv,697210,680.87 KiB,True
01281099999,01281099999.csv,277133,270.64 KiB,True
01282099999,01282099999.csv,6246082,5.96 MiB,True
01287099999,01287099999.csv,98263,95.96 KiB,True
01288099999,01288099999.csv,1275692,1.22 MiB,True
01290099999,01290099999.csv,6472602,6.17 MiB,True
01291099999,01291099999.csv,701658,685.21 KiB,True
01293099999,01293099999.csv,737516,720.23 KiB,True
01300099999,01300099999.csv,2772422,2.64 MiB,True
01300599999,01300599999.csv,5959308,5.68 MiB,True
01304099999,01304099999.csv,705120,688.59 KiB,True
01307099999,01307099999.csv,1395522,1.33 MiB,True
01308099999,01308099999.csv,154106,150.49 KiB,True
01310099999,01310099999.csv,6620271,6.31 MiB,True
01311099999,01311099999.csv,7919740,7.55 MiB,True
01314099999,01314099999.csv,597490,583.49 KiB,True
01315099999,01315099999.csv,110420,107.83 KiB,True
01317099999,01317099999.csv,496201,484.57 KiB,True
01319099999,01319099999.csv,116778,114.04 KiB,True
01320099999,01320099999.csv,7455202,7.11 MiB,True
01321099999,01321099999.csv,1501800,1.43 MiB,True
01323099999,01323099999.csv,6200653,5.91 MiB,True
01326099999,01326099999.csv,132591,129.48 KiB,True
01327099999,01327099999.csv,1545920,1.47 MiB,True
01329099999,01329099999.csv,1588616,1.52 MiB,True
01332099999,01332099999.csv,748229,730.69 KiB,True
01336099999,01336099999.csv,161637,157.85 KiB,True
01337099999,01337099999.csv,1644552,1.57 MiB,True
01338099999,01338099999.csv,722387,705.46 KiB,True
01340099999,01340099999.csv,752621,734.98 KiB,True
01342099999,01342099999.csv,2116895,2.02 MiB,True
01344099999,01344099999.csv,565393,552.14 KiB,True
