lead,corruption,severity,type_acc,type_conf,type_entropy,loc_iou,router_moisture,router_hydrostatic,router_advection,router_spectral
6,spectral,2.0,0.0,0.9699746966362,0.10376589000225067,0.06890680640935898,1.8936344758913037e-07,0.9999998211860657,3.5694493557723514e-14,1.6545518427557582e-11
6,range_extreme,0.25,1.0,0.9700011610984802,0.10368864238262177,0.08615955710411072,1.891902456918615e-07,0.9999998211860657,3.570070739142457e-14,1.6545518427557582e-11
6,range_extreme,0.5,1.0,0.969985842704773,0.10372303426265717,0.08752463012933731,1.8830169778993877e-07,0.9999998211860657,3.544908778411321e-14,1.644608928208502e-11
6,range_extreme,1.0,1.0,0.9703393578529358,0.10274571180343628,0.12379399687051773,1.8090213416144252e-07,0.9999998211860657,3.35702670631495e-14,1.5707412800991527e-11
6,range_extreme,2.0,1.0,0.9715692400932312,0.09905215352773666,0.16223841905593872,1.5315816881411592e-07,0.9999998211860657,2.6278902421099024e-14,1.27229893287506e-11
24,moisture,0.25,0.0,0.9691826105117798,0.1038527712225914,0.0007482693181373179,1.5983613366188365e-07,0.9999998211860657,2.882578586261696e-16,5.74962657779593e-13
24,moisture,0.5,0.0,0.9687768220901489,0.10496319830417633,0.001593040768057108,1.5930928043417225e-07,0.9999998211860657,2.8201549050270143e-16,5.646698386652105e-13
24,moisture,1.0,0.0,0.9712133407592773,0.09832059592008591,0.0036866848822683096,1.5643661299691303e-07,0.9999998211860657,3.1270682937395455e-16,6.11499186790182e-13
24,moisture,2.0,0.0,0.9657868146896362,0.11295284330844879,0.00512623880058527,1.4086488420161913e-07,0.9999998807907104,2.2685093456554823e-16,4.667684966840058e-13
24,hydrostatic,0.25,0.0,0.9710677266120911,0.09895497560501099,0.008599415421485901,1.3804164211705938e-07,0.9999998807907104,3.00727771796529e-16,5.782438872344031e-13
24,hydrostatic,0.5,0.0,0.9728600978851318,0.09440416097640991,0.1605270504951477,1.113320422518882e-07,0.9999998807907104,2.837218383749452e-16,5.296690820319472e-13
24,hydrostatic,1.0,0.0,0.9796239733695984,0.07439938932657242,0.9255162477493286,3.1050696236434305e-08,1.0,7.692573894206754e-17,1.394075013847612e-13
24,hydrostatic,2.0,0.0,0.9484449625015259,0.11445546895265579,0.8970718383789062,1.6445682593513311e-09,1.0,2.366581516897382e-18,3.4058652708009174e-15
