model,lead_hours,corruption,severity,channel_index,channel,repaired_nrmse,corrupted_input_nrmse,repaired_nmae,corrupted_input_nmae,repaired_acc,corrupted_input_acc,repaired_rmse_phys,corrupted_input_rmse_phys
Smart_Final,72,spectral,0.5,16,temperature@200hPa,0.3151956545066246,0.32410313182041567,0.2193233879898432,0.2272591552716819,0.9062661127386008,0.901137931068539,2.2414798669049314,2.304824465733166
Smart_Final,72,spectral,0.5,17,temperature@250hPa,0.22870834641440788,0.23072370951301288,0.1579380111230605,0.15955469539422626,0.9703146782583824,0.9700329656621138,1.933778097694675,1.9508184347230175
Smart_Final,72,spectral,0.5,18,temperature@300hPa,0.1593106869283653,0.16251779994353074,0.11573750999408212,0.11855740584788967,0.9870766322472917,0.9865589697047246,1.7017611215757094,1.7360196776822412
Smart_Final,72,spectral,0.5,19,temperature@400hPa,0.13817197914843127,0.14060315867467676,0.09967115408277896,0.10152390776201274,0.9898720358122063,0.9895180877402738,1.7569215392460904,1.7878351314185106
Smart_Final,72,spectral,0.5,20,temperature@500hPa,0.13316848804248757,0.13416898948975098,0.09365744987245395,0.09397868204357074,0.9900634592964892,0.9900659118567258,1.7467112546742674,1.7598343774764948
Smart_Final,72,spectral,0.5,21,temperature@600hPa,0.12972262165059967,0.12988488053851072,0.09179996548346323,0.09145244308366904,0.9901826676174682,0.9902022668127628,1.7508512218107453,1.7530412559122228
Smart_Final,72,spectral,0.5,22,temperature@700hPa,0.12227234341572231,0.11923666231367745,0.08816940708260158,0.08405601333467565,0.9907485470484767,0.9911303636899771,1.8218680173997328,1.7766361705064346
Smart_Final,72,spectral,0.5,23,temperature@850hPa,0.13624297184572776,0.13442186596228423,0.10049406454059714,0.09607279846550557,0.9887961970074044,0.9888376124039856,2.1368911196178537,2.1083282276876614
Smart_Final,72,spectral,0.5,24,temperature@925hPa,0.13162411560736015,0.13678258367021912,0.09285120176673532,0.09487064554979037,0.989405435148363,0.9885100322479548,2.1290276912197625,2.212466218381287
Smart_Final,72,spectral,0.5,25,temperature@1000hPa,0.12494255911512252,0.14059083987869167,0.0880476903483134,0.09835685238481039,0.9902786940226787,0.9876744102420166,2.157544523924302,2.42776361074968
Smart_Final,72,spectral,0.5,26,specific_humidity@50hPa,0.12140014689388787,0.23427212621092208,0.08208203563406292,0.20653977844431626,0.8897202817120348,0.5776324883784589,1.214001471407041e-07,2.342721232254284e-07
Smart_Final,72,spectral,0.5,27,specific_humidity@100hPa,0.3323054775492404,0.43372823948735106,0.22713457880503538,0.32634991352222614,0.8557762765042971,0.7376106802241973,3.323054766657126e-07,4.3372824126004613e-07
Smart_Final,72,spectral,0.5,28,specific_humidity@150hPa,0.552670785362425,0.5728128706493157,0.3660629069209385,0.3837179556835366,0.8900074813164303,0.8813748603888069,2.0444185009695445e-06,2.118927336262433e-06
Smart_Final,72,spectral,0.5,29,specific_humidity@200hPa,0.5701790965319767,0.5708706174531304,0.36965425136667907,0.3743786623883206,0.8811094156768784,0.8799636899945488,1.2622782468648333e-05,1.2638091998754755e-05
Smart_Final,72,spectral,0.5,30,specific_humidity@250hPa,0.6233471823644787,0.6295563468311547,0.3992484130649353,0.40143451366039884,0.8557885280785853,0.8544060381992036,4.510838946387885e-05,4.555771334734687e-05
Smart_Final,72,spectral,0.5,31,specific_humidity@300hPa,0.6546770280179359,0.6639265520905863,0.43017333906478294,0.4332775635586336,0.8436990940718639,0.8395364588400133,0.00010732206528571761,0.00010883835268367037
Smart_Final,72,spectral,0.5,32,specific_humidity@400hPa,0.660816919024684,0.6678731876044988,0.4393093416769604,0.44363529443724464,0.8521328178532376,0.8471660564595513,0.00032791849121239965,0.00033142004659380555
Smart_Final,72,spectral,0.5,33,specific_humidity@500hPa,0.6009238866629887,0.6068725323502674,0.41278704521932646,0.4098218989315321,0.8694540168549636,0.8671509163330757,0.000635319324405998,0.0006416084414497433
Smart_Final,72,spectral,0.5,34,specific_humidity@600hPa,0.5397622629602687,0.5426921536780032,0.38613275496827726,0.37980360463437773,0.8853603414770665,0.8847585907316944,0.000938815454033086,0.0009439114367890255
Smart_Final,72,spectral,0.5,35,specific_humidity@700hPa,0.5009999663173289,0.49881867690721143,0.363856698312152,0.3568424506528047,0.8987032305726509,0.8998506643239772,0.0012578742157896147,0.0012523976199950502
Smart_Final,72,spectral,0.5,36,specific_humidity@850hPa,0.3649020504711183,0.3599285194954323,0.26626831493783026,0.25846243743211883,0.9411671533346504,0.9430425835781466,0.0014858448618260552,0.0014655931959370644
