model,lead_hours,channel_index,channel,repaired_nrmse,raw_forecast_nrmse,repaired_nmae,raw_forecast_nmae,repaired_acc,raw_forecast_acc,repaired_rmse_phys,raw_forecast_rmse_phys,repaired_mae_phys,raw_forecast_mae_phys
OLD_Full,6,61,v_component_of_wind@700hPa,0.27678491489743084,0.37353431739971144,0.20989638138465372,0.2862091640854213,0.9552527697571931,0.9196902837258008,1.8863414702729566,2.5457069251386923,1.4304834835468547,1.9505694986349185
OLD_Full,6,62,v_component_of_wind@850hPa,0.28814748868720214,0.3810247388142835,0.21570933204183185,0.2870612473196248,0.95159680411499,0.9170854117003281,1.7782169590867778,2.35138142189762,1.3311863040879226,1.7715135550697279
OLD_Full,6,63,v_component_of_wind@925hPa,0.273298300290666,0.3645095459555297,0.19904739677449731,0.2677206223423237,0.9581995165287909,0.9278209820047341,1.7378871343646916,2.3178938552318695,1.2657301942221058,1.702419028326244
OLD_Full,6,64,v_component_of_wind@1000hPa,0.2652613814280094,0.38501744581617836,0.19713090127391697,0.2861213878642678,0.9619442998339638,0.919263735448218,1.3810405209918646,2.004531114202914,1.0263301727830572,1.4896447713204142
OLD_Full,6,65,2m_temperature,0.11804372135928909,0.1303924939278978,0.07738819485180073,0.08464207751629327,0.9902443039793364,0.9880314986579187,2.525421644328644,2.789610679611112,1.6556392879980362,1.8108285053952975
OLD_Full,6,66,10m_u_component_of_wind,0.2277008214198187,0.3171064032162062,0.16973012000298826,0.23639380971407645,0.9742961356162031,0.951154944608372,1.236909223434846,1.722575403416649,0.9220025995849473,1.284131007091837
OLD_Full,6,67,10m_v_component_of_wind,0.26431193465165115,0.3584052981020465,0.19731078751835962,0.2670931703813647,0.9611488812803078,0.9300850678385145,1.2344562348723453,1.6739147824293727,0.9215305897878777,1.2474458633385228
OLD_Full,6,68,mean_sea_level_pressure,0.1274287938623977,0.16430730654341597,0.09949300932172929,0.12483146367042038,0.9899183669173582,0.9837291646139092,168.61643409704402,217.41484879316886,131.6512217803819,165.17959190049436
OLD_Full,6,69,surface_pressure,0.07185724771864814,0.14818192560272828,0.05497257118582509,0.09004217950941816,0.9950357480403966,0.9787271342716646,689.7836178848881,1422.4516955329607,527.7015244580887,864.3473262740077
OLD_Full,6,70,total_precipitation_6hr,0.6184287142628832,0.9350564387984049,0.2573164984506105,0.398340780464365,0.8667774669967965,0.6513952449826277,0.001031592667896278,0.0015597551411600866,0.00042922621438137225,0.0006644669276445728
OLD_Full,24,0,geopotential@50hPa,0.05810944880208006,0.07437483349738452,0.04300315501125834,0.057448431478622566,0.9973135173721355,0.995520232674644,334.57071279315545,428.22022283489383,247.59478233781567,330.7648402678435
OLD_Full,24,1,geopotential@100hPa,0.05803414949911292,0.0663971061070768,0.044735477202451676,0.05154317770944735,0.9980222106771104,0.9973040336465253,316.3008201568141,361.88105601400923,243.81969103834354,280.92338119608183
OLD_Full,24,2,geopotential@150hPa,0.05091790640677926,0.05698828806351359,0.03933448701589489,0.04410844863461352,0.9985847815695055,0.9981930002548649,295.3425032486751,330.5529372796753,228.15443121626694,255.84514964654207
OLD_Full,24,3,geopotential@200hPa,0.04912014007274058,0.05433500288451658,0.03794941358691119,0.042011400825497175,0.9987074691886318,0.9984009254567577,285.75466354606084,316.0919420869712,220.76936107963368,244.39982638914745
OLD_Full,24,4,geopotential@250hPa,0.040630097937564606,0.04680307960036861,0.03045281499512699,0.034867794060628114,0.9991044904483354,0.9988675051833976,225.31166892420248,259.54355412731184,168.8741834208626,193.35717629850365
OLD_Full,24,5,geopotential@300hPa,0.05305761333754658,0.05722940466037218,0.04047974851401364,0.04354146534801927,0.9984757963647345,0.9981924343710781,270.8800747606324,292.17871726729027,206.66510503858882,222.2963803507357
