case,lead_hours,time,raw_nrmse,acc_nrmse,phys_nrmse,acc_gain,phys_gain
L24_C91057_T91061,24,2021-04-30T06:00:00.000000000,0.29343992471694946,0.25734376907348633,0.26935622096061707,0.036096155643463135,0.024083703756332397
L24_C91151_T91155,24,2021-05-23T18:00:00.000000000,0.3141725957393646,0.27810510993003845,0.28973525762557983,0.03606748580932617,0.02443733811378479
L24_C91245_T91249,24,2021-06-16T06:00:00.000000000,0.31582245230674744,0.27975985407829285,0.29241427779197693,0.03606259822845459,0.023408174514770508
L24_C91338_T91342,24,2021-07-09T12:00:00.000000000,0.3182983696460724,0.28297534584999084,0.295521080493927,0.03532302379608154,0.022777289152145386
L24_C91432_T91436,24,2021-08-02T00:00:00.000000000,0.32938286662101746,0.29229238629341125,0.3054911494255066,0.0370904803276062,0.023891717195510864
L24_C91526_T91530,24,2021-08-25T12:00:00.000000000,0.310335248708725,0.2737823724746704,0.2869982123374939,0.036552876234054565,0.02333703637123108
L24_C91620_T91624,24,2021-09-18T00:00:00.000000000,0.3137238025665283,0.2761009931564331,0.28881171345710754,0.037622809410095215,0.024912089109420776
L24_C91714_T91718,24,2021-10-11T12:00:00.000000000,0.3119552433490753,0.2750265300273895,0.28637656569480896,0.03692871332168579,0.025578677654266357
L24_C91808_T91812,24,2021-11-04T00:00:00.000000000,0.30254635214805603,0.266276091337204,0.277273952960968,0.03627026081085205,0.025272399187088013
L24_C91902_T91906,24,2021-11-27T12:00:00.000000000,0.29419922828674316,0.25833505392074585,0.26861080527305603,0.035864174365997314,0.025588423013687134
L24_C91996_T92000,24,2021-12-21T00:00:00.000000000,0.3366504907608032,0.2935401499271393,0.3057404160499573,0.04311034083366394,0.030910074710845947
L24_C92090_T92094,24,2022-01-13T12:00:00.000000000,0.31172871589660645,0.26919466257095337,0.2823781669139862,0.042534053325653076,0.02935054898262024
L24_C92184_T92188,24,2022-02-06T00:00:00.000000000,0.3224887549877167,0.28292733430862427,0.29461514949798584,0.03956142067909241,0.027873605489730835
L24_C92278_T92282,24,2022-03-01T12:00:00.000000000,0.3175288438796997,0.2755180895328522,0.28716012835502625,0.042010754346847534,0.030368715524673462
L24_C92372_T92376,24,2022-03-25T00:00:00.000000000,0.3228611648082733,0.2790569067001343,0.2930055558681488,0.04380425810813904,0.02985560894012451
L24_C92466_T92470,24,2022-04-17T12:00:00.000000000,0.31152093410491943,0.2732377350330353,0.28628867864608765,0.038283199071884155,0.025232255458831787
L24_C92560_T92564,24,2022-05-11T00:00:00.000000000,0.31843847036361694,0.280210018157959,0.2929883897304535,0.03822845220565796,0.025450080633163452
L24_C92654_T92658,24,2022-06-03T12:00:00.000000000,0.3069527745246887,0.2679460942745209,0.27944767475128174,0.03900668025016785,0.027505099773406982
L24_C92748_T92752,24,2022-06-27T00:00:00.000000000,0.31252118945121765,0.2729928493499756,0.2853579521179199,0.039528340101242065,0.02716323733329773
L24_C92841_T92845,24,2022-07-20T06:00:00.000000000,0.33071985840797424,0.2941814363002777,0.3061341345310211,0.03653842210769653,0.024585723876953125
L24_C92935_T92939,24,2022-08-12T18:00:00.000000000,0.3245804011821747,0.28375381231307983,0.29714301228523254,0.04082658886909485,0.02743738889694214
L24_C93029_T93033,24,2022-09-05T06:00:00.000000000,0.32109951972961426,0.2838436961174011,0.29749801754951477,0.037255823612213135,0.023601502180099487
L24_C93123_T93127,24,2022-09-28T18:00:00.000000000,0.29869699478149414,0.26377183198928833,0.2761286795139313,0.03492516279220581,0.022568315267562866
L24_C93217_T93221,24,2022-10-22T06:00:00.000000000,0.30310681462287903,0.26239895820617676,0.27469292283058167,0.04070785641670227,0.028413891792297363
L24_C93311_T93315,24,2022-11-14T18:00:00.000000000,0.30622097849845886,0.2683505415916443,0.2808466851711273,0.037870436906814575,0.025374293327331543
L24_C93405_T93409,24,2022-12-08T06:00:00.000000000,0.32341456413269043,0.2814958691596985,0.29373252391815186,0.04191869497299194,0.029682040214538574
L24_C93499_T93503,24,2022-12-31T18:00:00.000000000,0.31113365292549133,0.26929405331611633,0.2813873887062073,0.041839599609375,0.029746264219284058
L72_C90587_T90599,72,2021-01-04T18:00:00.000000000,0.4285942316055298,0.40896153450012207,0.4171106219291687,0.019632697105407715,0.011483609676361084
L72_C90681_T90693,72,2021-01-28T06:00:00.000000000,0.40364742279052734,0.3846568763256073,0.3917578160762787,0.018990546464920044,0.011889606714248657
L72_C90774_T90786,72,2021-02-20T12:00:00.000000000,0.4116147458553314,0.3929041028022766,0.3998584747314453,0.01871064305305481,0.011756271123886108
L72_C90868_T90880,72,2021-03-16T00:00:00.000000000,0.40605026483535767,0.3937227129936218,0.40055394172668457,0.01232755184173584,0.005496323108673096
L72_C90962_T90974,72,2021-04-08T12:00:00.000000000,0.41765114665031433,0.4082280397415161,0.4143693745136261,0.009423106908798218,0.0032817721366882324
L72_C91055_T91067,72,2021-05-01T18:00:00.000000000,0.37939804792404175,0.36833325028419495,0.37607109546661377,0.011064797639846802,0.0033269524574279785
L72_C91149_T91161,72,2021-05-25T06:00:00.000000000,0.4155655801296234,0.4008703827857971,0.40899956226348877,0.014695197343826294,0.0065660178661346436
L72_C91243_T91255,72,2021-06-17T18:00:00.000000000,0.40927985310554504,0.3966481685638428,0.4048806428909302,0.01263168454170227,0.004399210214614868
L72_C91336_T91348,72,2021-07-11T00:00:00.000000000,0.4140441417694092,0.4020978808403015,0.41035687923431396,0.011946260929107666,0.003687262535095215
L72_C91430_T91442,72,2021-08-03T12:00:00.000000000,0.42242640256881714,0.40980371832847595,0.4174633324146271,0.012622684240341187,0.0049630701541900635
L72_C91524_T91536,72,2021-08-27T00:00:00.000000000,0.4246571958065033,0.414030522108078,0.42078959941864014,0.010626673698425293,0.003867596387863159
L72_C91617_T91629,72,2021-09-19T06:00:00.000000000,0.4197208285331726,0.4061267077922821,0.4115959107875824,0.013594120740890503,0.00812491774559021
L72_C91711_T91723,72,2021-10-12T18:00:00.000000000,0.40930747985839844,0.39223843812942505,0.3983194828033447,0.01706904172897339,0.010987997055053711
L72_C91805_T91817,72,2021-11-05T06:00:00.000000000,0.3744811713695526,0.35795333981513977,0.3641411364078522,0.016527831554412842,0.01034003496170044
L72_C91898_T91910,72,2021-11-28T12:00:00.000000000,0.37437763810157776,0.36214232444763184,0.36967408657073975,0.012235313653945923,0.004703551530838013
L72_C91992_T92004,72,2021-12-22T00:00:00.000000000,0.4329364597797394,0.41429248452186584,0.4220287799835205,0.018643975257873535,0.010907679796218872
L72_C92086_T92098,72,2022-01-14T12:00:00.000000000,0.3863811790943146,0.3755762279033661,0.38247400522232056,0.010804951190948486,0.0039071738719940186
L72_C92180_T92192,72,2022-02-07T00:00:00.000000000,0.4212459623813629,0.40618979930877686,0.41291099786758423,0.01505616307258606,0.008334964513778687
L72_C92273_T92285,72,2022-03-02T06:00:00.000000000,0.4103483259677887,0.39196375012397766,0.39935651421546936,0.018384575843811035,0.010991811752319336
L72_C92367_T92379,72,2022-03-25T18:00:00.000000000,0.41324639320373535,0.39789897203445435,0.40450501441955566,0.015347421169281006,0.008741378784179688
L72_C92461_T92473,72,2022-04-18T06:00:00.000000000,0.3915950059890747,0.37838709354400635,0.3857037425041199,0.01320791244506836,0.005891263484954834
L72_C92554_T92566,72,2022-05-11T12:00:00.000000000,0.39006611704826355,0.37507230043411255,0.3840444087982178,0.014993816614151001,0.006021708250045776
L72_C92648_T92660,72,2022-06-04T00:00:00.000000000,0.40715840458869934,0.3967953622341156,0.4049232304096222,0.01036304235458374,0.0022351741790771484
L72_C92742_T92754,72,2022-06-27T12:00:00.000000000,0.39766228199005127,0.3820013403892517,0.39066028594970703,0.01566094160079956,0.007001996040344238
L72_C92835_T92847,72,2022-07-20T18:00:00.000000000,0.4164949953556061,0.4023490250110626,0.40997669100761414,0.014145970344543457,0.006518304347991943
L72_C92929_T92941,72,2022-08-13T06:00:00.000000000,0.41304147243499756,0.3951234519481659,0.40237852931022644,0.017918020486831665,0.010662943124771118
L72_C93023_T93035,72,2022-09-05T18:00:00.000000000,0.4172782301902771,0.4049278199672699,0.4131888747215271,0.012350410223007202,0.00408935546875
L72_C93116_T93128,72,2022-09-29T00:00:00.000000000,0.39231979846954346,0.37903136014938354,0.3871020972728729,0.013288438320159912,0.005217701196670532
L72_C93210_T93222,72,2022-10-22T12:00:00.000000000,0.4205344021320343,0.40028390288352966,0.405875027179718,0.02025049924850464,0.014659374952316284
L72_C93304_T93316,72,2022-11-15T00:00:00.000000000,0.40480560064315796,0.3944941461086273,0.40079909563064575,0.01031145453453064,0.004006505012512207
L72_C93397_T93409,72,2022-12-08T06:00:00.000000000,0.399817556142807,0.38701871037483215,0.3936033844947815,0.012798845767974854,0.006214171648025513
L72_C93491_T93503,72,2022-12-31T18:00:00.000000000,0.3972991406917572,0.380557656288147,0.38753506541252136,0.01674148440361023,0.00976407527923584
