==============================================================================
ConserveFM unified parallel scheduler
==============================================================================
plan rows       : 2
train rows      : 1
eval rows       : 1
max parallel    : 1
GPU             : 0
smoke           : False
==============================================================================

[STATUS 2026-09-12 07:04:36] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=18% RAMavail=55.2/62.8GiB uEMA=9% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:38] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=5% RAMavail=55.1/62.8GiB uEMA=8% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:40] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=21% RAMavail=55.3/62.8GiB uEMA=11% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:42] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=18% RAMavail=55.1/62.8GiB uEMA=13% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:44] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=6% RAMavail=55.0/62.8GiB uEMA=11% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:46] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=1% RAMavail=55.1/62.8GiB uEMA=9% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:48] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=3% RAMavail=55.3/62.8GiB uEMA=7% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:50] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=54.9/62.8GiB uEMA=6% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:52] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=0% RAMavail=55.1/62.8GiB uEMA=5% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:54] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=24% RAMavail=55.2/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:56] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=21% RAMavail=55.3/62.8GiB uEMA=12% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:04:58] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=4% RAMavail=54.9/62.8GiB uEMA=10% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:00] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=22% RAMavail=55.1/62.8GiB uEMA=13% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:02] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=23% RAMavail=55.2/62.8GiB uEMA=16% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:04] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=0% RAMavail=55.2/62.8GiB uEMA=12% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:06] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=2% RAMavail=55.4/62.8GiB uEMA=9% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:08] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=7% RAMavail=55.4/62.8GiB uEMA=9% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:10] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=11% RAMavail=55.0/62.8GiB uEMA=9% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:13] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=3% RAMavail=55.2/62.8GiB uEMA=8% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:15] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=0% RAMavail=55.0/62.8GiB uEMA=6% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:17] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=0% RAMavail=55.0/62.8GiB uEMA=4% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:19] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=16% RAMavail=54.9/62.8GiB uEMA=7% next≈1.0GiB admission=ADMIT    
[STATUS 2026-09-12 07:05:21] running=0 | planned=1 | completed=1/2 | failed=0 | GPU=13.7/40.0GiB util=25% RAMavail=55.1/62.8GiB uEMA=12% next≈1.0GiB admission=ADMIT    
